2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
BDB 156                ;Aur  ;05 40 45.2 +35 55 10 ;IR   ;OC   ;    4.00;  2307;   6.62;Sh2-235 Cl, IRAS 05377+3548, FSR 784, Koposov 7        ;
BDB 200                ;Mon  ;06 41 12.0 +09 29 05 ;IR   ;OC?  ;    0.60;      ;       ;NGC 2264 IRS1 SE Cl                                    ;
BDB 261                ;Sco  ;17 19 59.0 -36 09 43 ;IR   ;OC   ;    1.90;  1740;       ;NGC 6334 VI                                            ;
BDB 262                ;Sco  ;17 19 57.0 -35 57 31 ;IR   ;OC   ;    3.50;  1740;       ;NGC 6334 V, Bica 550                                   ;In Gum 64a, NGC 6334
BDB 263                ;Sco  ;17 20 19.0 -35 54 59 ;IR   ;OC   ;    0.55;  1700;       ;NGC 6334 E, NGC 6334 IV                                ;
BDB 265                ;Sco  ;17 20 45.0 -35 49 23 ;IR   ;OC   ;    1.80;  1740;       ;NGC 6334 II                                            ;
BDB 267                ;Sco  ;17 20 51.0 -35 46 08 ;IR   ;OC   ;    0.40;  1740;       ;NGC 6334E Cl                                           ;
BDB 27                 ;Aql  ;19 10 13.0 +09 06 16 ;IR   ;EC   ;    0.60; 11400;   6.18;W49A Cl                                                ;
BDB 274                ;Sgr  ;17 44 55.0 -29 41 16 ;IR   ;OC?  ;    1.90;      ;       ;                                                       ;Related to DB 1?
BDB 38                 ;Cyg  ;20 25 28.1 +37 23 24 ;IR   ;OC   ;    7.20;  1547;   7.48;G76.2-0.3 Cl, ECX6-12 Cl, 18P29 Cl                     ;
BDB 50                 ;Cyg  ;20 35 07.0 +41 13 12 ;IR   ;OC?  ;    9.00;      ;       ;DR 18 IR Grp                                           ;
BDSB 104               ;Sgr  ;17 54 25.0 -25 51 36 ;IR   ;OC?  ;    1.10;      ;       ;                                                       ;
BDSB 110               ;Sgr  ;18 02 05.0 -21 48 12 ;IR   ;OC?  ;    1.20;      ;       ;                                                       ;
BDSB 117               ;Sct  ;18 34 27.0 -09 15 44 ;IR   ;EC   ;    2.50;  4620;   6.00;                                                       ;In G22.8-0.5
BDSB 123               ;Sct  ;18 44 15.0 -04 17 55 ;IR   ;EC   ;    0.60;  3180;       ;                                                       ;Compact, in HII reg WISE G28.28-0.36
BDSB 124               ;Aql  ;18 43 16.0 -03 35 42 ;IR   ;EC   ;    1.20;  7813;   7.90;                                                       ;In HII reg WAM G28.80+0.17
BDSB 126               ;Aql  ;18 52 51.0 +00 55 28 ;IR   ;EC   ;    1.10;  6830;       ;                                                       ;In HII reg WISE G33.91+0.10
BDSB 128               ;Aql  ;18 53 22.0 +01 13 58 ;IR   ;EC   ;    0.80;  1560;       ;                                                       ;In HII reg NRAO 584
BDSB 132               ;Aql  ;19 10 11.0 +09 07 03 ;IR   ;EC   ;    1.00; 11400;   6.18;                                                       ;
BDSB 134               ;Aql  ;19 13 27.0 +10 54 27 ;IR   ;EC   ;    1.20;  4400;       ;                                                       ;In HII reg Lockman G44.12+0.14
BDSB 135               ;Aql  ;19 13 28.0 +10 53 35 ;IR   ;EC   ;    0.60;  4400;       ;                                                       ;In HII reg WISE G45.12+0.13
BDSB 140               ;Aql  ;19 22 32.2 +14 11 26 ;IR   ;EC   ;    0.80;  5430;       ;                                                       ;Compact
BDSB 141               ;Aql  ;19 22 53.4 +14 09 15 ;IR   ;EC   ;    1.50;  5805;   6.10;                                                       ;In HII reg WISE G49.07-0.37
BDSB 143               ;Aql  ;19 23 14.0 +14 27 33 ;IR   ;EC   ;    1.40;  5100;   6.10;                                                       ;In G49.4-0.5, in W 51
BDSB 144               ;Aql  ;19 23 19.0 +14 29 23 ;IR   ;EC   ;    1.30;  5430;       ;                                                       ;In HII reg WISE G49.42-0.30
BDSB 145               ;Aql  ;19 23 29.0 +14 31 43 ;IR   ;EC   ;    1.30;  5430;       ;                                                       ;In HII reg WISE G49.47-0.32
BDSB 146               ;Aql  ;19 23 35.0 +14 32 02 ;IR   ;EC   ;    0.90;  5430;       ;                                                       ;Sev HII regions nearby
BDSB 147               ;Aql  ;19 23 33.0 +14 29 47 ;IR   ;EC   ;    0.60;  5430;       ;                                                       ;In HII reg WISE G49.45-0.35
BDSB 148               ;Aql  ;19 23 41.0 +14 29 15 ;IR   ;EC   ;    0.60;  5430;       ;                                                       ;Sev HII regions nearby
BDSB 149               ;Aql  ;19 23 43.0 +14 29 55 ;IR   ;EC   ;    1.50;  5430;       ;W51 Cl                                                 ;Sev HII regions nearby
