Russeil 65                    ; Aql  ; 18 48 06.0 -01 38 00; IR    ; SFR  ;    20.00; 12600;     ;      ;  ;                                                       ;Tentative diam from Spitzer image
BSP 12                        ; Aql  ; 18 48 16.0 -02 20 03; Op    ; EC   ;     3.10;   624;     ;      ;* ;IRAS 18456-0223, Ryu 923                               ;In HII reg WISE G30.48-0.36, dist from Gaia DR2
BSP 11                        ; Aql  ; 18 48 18.6 -02 06 58; IR    ; SFR  ;     5.30;  5520;     ;      ;* ;                                                       ;
SUH 19                        ; Aql  ; 18 48 40.0 -03 03 50; IR    ; EC   ;     3.30;  5100;     ;      ;* ;                                                       ;In HII reg WISE G29.88-0.78, dist from Anderson+ 2014
Spitzer J1848-0110            ; Aql  ; 18 48 41.9 -01 10 09; IR    ; EC   ;     0.50;  6100;     ;      ;* ;                                                       ;In HII reg WISE G31.58+0.07, dist from Anderson+ 2014
GLIMPSE-GC 1                  ; Aql  ; 18 48 49.7 -01 29 50; IR    ; GC   ;     2.30;  4100;     ;      ;* ;                                                       ;
Ryu 914                       ; Aql  ; 18 48 52.0 -03 01 09; IR    ; EC   ;     3.40;  5250;     ;      ;* ;                                                       ;Two HII reg nearby, dist from Anderson+ 2014, compact string of stars in the N, subcluster?
LMR 71                        ; Aql  ; 18 48 54.4 -02 17 54; IR    ; SFR  ;    14.60;  7600;     ;      ;* ;Russeil 63                                             ;
Spitzer J1848-0111            ; Aql  ; 18 48 57.4 -01 11 55; IR    ; OC?  ;     6.00;  3000;     ;      ;* ;                                                       ;Very uncertain dist: mean of 4* only
PanSTARRS J1849-0046          ; Aql  ; 18 49 31.7 -00 46 12; Op    ; OC?  ;     2.00;  3020;     ;      ;* ;                                                       ;
SUH 21                        ; Aql  ; 18 49 33.0 -00 38 02; IR    ; EC   ;     1.30;  4800;     ;      ;* ;                                                       ;In HII reg WISE G32.15+0.13
FSR 94                        ; Aql  ; 18 49 51.8 -01 04 01; Op    ; OC?  ;     2.80;      ;2.644; 6.000;  ;                                                       ;
LMR 73                        ; Aql  ; 18 49 53.9 -00 40 04; IR    ; SFR  ;     6.30;  8100;     ;      ;* ;                                                       ;
Masgomas-1                    ; Aql  ; 18 50 16.0 +00 21 05; Op    ; RSG  ;     3.00;  3500;     ; 6.900;* ;                                                       ;Massive (M > 10^4MSun) cluster with confirmed OB and RSG population (arXiv:1801.08683v1)
Spitzer J1850-0001            ; Aql  ; 18 50 31.0 -00 01 58; IR    ; EC   ;     1.40; 13100;     ;      ;* ;Russeil 67                                             ;In HII reg WISE G32.80+0.19
Wallace 1                     ; Aql  ; 18 51 04.0 -01 02 40; Op    ; OC   ;     2.00;  4000;     ;      ;* ;GSC 5114-118 Grp                                       ;
Prestgard 1                   ; Aql  ; 18 51 07.0 -02 11 04; Op    ; OC   ;     2.30;  2180;     ;      ;* ;                                                       ;
NGC 6709                      ; Aql  ; 18 51 23.0 +10 19 48; Op    ; OC   ;    12.00;  1064;0.263; 8.239;* ;                                                       ;
Teutsch 146                   ; Aql  ; 18 51 34.0 +00 11 10; Op    ; OC   ;     1.60;  4427;1.830; 8.600;* ;                                                       ;
LMR 74                        ; Aql  ; 18 51 51.5 +00 02 42; IR    ; SFR  ;    13.00;  7600;     ;      ;* ;                                                       ;
SUH 22                        ; Aql  ; 18 51 57.0 +01 16 59; IR    ; EC   ;     2.30; 11700;     ;      ;* ;IRAS 18494+0113                                        ;In HII reg WISE G34.13+0.47, dist from Anderson+ 2014
Bica 83                       ; Aql  ; 18 51 59.7 +01 13 41; IR    ; EC   ;     0.60; 11800;     ;      ;* ;                                                       ;In HII reg WISE G34.08+0.43, dist from Anderson+ 2014
Spitzer J1852+0046            ; Aql  ; 18 52 11.4 +00 46 37; IR    ; OC   ;     4.00;  3300;     ;      ;* ;                                                       ;Very uncertain dist: avg of gaia stars in the field
PanSTARRS J1852-0013          ; Aql  ; 18 52 15.0 -00 13 23; Op    ; OC   ;     2.00;  4250;     ;      ;* ;                                                       ;
Bica 82                       ; Aql  ; 18 52 20.3 +00 25 50; IR    ; EC   ;     1.30;  9300;     ;      ;* ;IRAS 18497+0022                                        ;In HII reg WISE G33.41-0.00, dist from Anderson+ 2014
Russeil 69                    ; Aql  ; 18 52 30.0 +00 30 00; IR    ; SFR  ;    20.00;  7100;     ;      ;  ;                                                       ;Tentative diam from Spitzer image
Theia 578                     ; Aql  ; 18 52 50.9 +08 31 00; Op    ; OC   ;   427.00;   784;     ; 8.350;* ;                                                       ;
BDSB 126                      ; Aql  ; 18 52 51.0 +00 55 28; IR    ; EC   ;     1.10;  6830;     ;      ;* ;                                                       ;In HII reg WISE G33.91+0.10
UPK 51                        ; Aql  ; 18 53 05.7 +08 10 15; Op    ; OC   ;    29.58;   994;     ; 7.500;* ;                                                       ;
SFC 19                        ; Aql  ; 18 53 08.4 +01 18 45; IR    ; OB   ;    18.00;  2200;     ;      ;* ;RMM 19                                                 ;
Azatyan-Nikoghosyan 5         ; Aql  ; 18 53 18.4 +01 24 47; IR    ; EC   ;     1.90;  3900;     ;      ;* ;IRAS 18507+0121, G3CC 61                               ;This cluster is located in the UC HII region G34.4+0.23
BDSB 127                      ; Aql  ; 18 53 20.0 +01 14 39; IR    ; EC   ;     2.00;  2490;1.770; 6.800;* ;IRDC G34.4+0.2                                         ;In G34.3+0.1, in W 44
BDSB 128                      ; Aql  ; 18 53 22.0 +01 13 58; IR    ; EC   ;     0.80;  1560;     ;      ;* ;                                                       ;In HII reg NRAO 584
Mol 75 Cl                     ; Aql  ; 18 53 38.1 +01 50 27; IR    ; EC   ;     1.10;  1560;     ;      ;* ;IRAS 18511+0146                                        ;In HII reg WISE G34.82+0.35
Theia 1475                    ; Aql  ; 18 53 39.5 +09 45 26; Op    ; OC   ;   694.00;   264;     ; 9.350;* ;                                                       ;
Mercer 13                     ; Aql  ; 18 53 53.0 +00 37 39; IR    ; OC   ;     1.00;  3000;     ; 7.810;* ;GLIMPSE 13                                             ;
Spitzer J1853+0204            ; Aql  ; 18 53 56.0 +02 04 04; IR    ; EC   ;     0.70;  5500;     ;      ;* ;IRAS 18513+0200                                        ;V compact, v uncertain dist based on only 1 faint GDR2 star
SUH 138                       ; Aql  ; 18 54 00.8 +02 01 27; IR    ; EC   ;     1.00;  3500;     ;      ;* ;                                                       ;In HII reg WISE G35.02+0.35
Spitzer J1854+0201            ; Aql  ; 18 54 07.6 +02 01 44; IR    ; EC   ;     0.70;  2540;     ;      ;* ;                                                       ;In HII reg, dist from Ellsworth-Bowers+, 2015
Berkeley 80                   ; Aql  ; 18 54 21.8 -01 12 50; Op    ; OC   ;     4.40;  2389;0.965; 8.550;* ;                                                       ;
Urq G34.69-0.05               ; Aql  ; 18 54 51.6 +01 32 46; IR    ; OC   ;     1.60;  4800;     ;      ;* ;                                                       ;
SUH 23                        ; Aql  ; 18 55 16.8 +01 21 19; IR    ; EC   ;     3.20;  1700;     ;      ;* ;                                                       ;Very uncertain dist: avg of gaia stars in the field
RM 21                         ; Aql  ; 18 55 59.9 +02 03 52; IR    ; SFR  ;    26.60; 11000;     ;      ;* ;                                                       ;
Masgomas-4 A                  ; Aql  ; 18 56 05.0 +07 57 20; IR    ; EC   ;     1.10;  1900;     ; 7.000;* ;IRAS 18536+0753                                        ;
Bica 86                       ; Aql  ; 18 56 07.0 +01 59 55; IR    ; OC   ;     2.80;  5700;     ;      ;* ;                                                       ;Very uncertain dist: avg of gaia stars in the field
Masgomas-4 B                  ; Aql  ; 18 56 11.6 +07 53 20; IR    ; EC   ;     2.20;  1900;     ; 7.000;* ;IRAS 18536+0749                                        ;
Bica 85                       ; Aql  ; 18 56 24.0 +01 56 08; IR    ; OC   ;     2.50;  5600;     ;      ;* ;                                                       ;Very uncertain dist: avg of gaia stars in the field
UCEC 7                        ; Aql  ; 18 56 48.0 +01 18 45; IR    ; EC   ;     0.40;  2900;     ;      ;* ;IRAS 18542+0114                                        ;In HII reg IRAS 18542+0114
LMR 77                        ; Aql  ; 18 56 50.5 +01 39 27; IR    ; SFR  ;     5.40; 10800;     ;      ;* ;Russeil 70                                             ;
NGC 6724                      ; Aql  ; 18 57 00.0 +10 20 00; Op    ; OC?  ;     8.50;  6800;0.259; 9.400;* ;                                                       ;Somewhat dubious
RM 20                         ; Aql  ; 18 57 01.5 +01 39 02; IR    ; EC   ;     3.80;  3000;     ;      ;* ;                                                       ;
LMR 76                        ; Aql  ; 18 57 06.6 +01 19 26; IR    ; SFR  ;     6.30; 10800;     ;      ;* ;                                                       ;
