Name                   ;Cns  ;RA          De       ;Wv   ;Type ;   Diam ;  Dist;    Age;Aliases                                                ;Notes
FSR 419                ;Cas  ;23 15 53.0 +59 53 56 ;Op   ;OC?  ;    2.80;      ;       ;BDSB 43                                                ;
BDSB 43                ;Cas  ;23 16 06.0 +60 02 05 ;IR   ;OC?  ;    2.20;      ;       ;                                                       ;
KKC 49                 ;Cas  ;23 16 49.0 +60 10 41 ;IR   ;OC   ;    4.00;  4430;       ;IRAS 23146+5954                                        ;
BDB 85                 ;Cas  ;23 17 25.0 +59 28 26 ;IR   ;OCR? ;   13.80;  2900;   8.28;IRAS 23151+5912, KKC 50                                ;
BDB 88                 ;Cas  ;23 17 26.0 +60 50 45 ;IR   ;OC?  ;    2.10;      ;       ;MWC 1080 Grp, V628 Cas Grp, IRAS 23152+6034            ;
Majaess 219            ;Cas  ;23 17 53.0 +58 05 10 ;IR   ;OC?  ;   20.00;      ;       ;                                                       ;
Teutsch 172            ;Cas  ;23 20 11.0 +58 21 26 ;Op   ;OC?  ;    1.00;      ;       ;DSH J2320+5821 A                                       ;
BDSB 44                ;Cas  ;23 20 42.7 +61 12 00 ;IR   ;OC   ;   15.60;  2500;   6.87;Cas II, Cas T2                                         ;
GLM-G360 90            ;Cas  ;23 21 00.3 +62 17 21 ;Op   ;OC?  ;    9.60;      ;       ;                                                       ;
Lotkin-Popova 14       ;Cas  ;23 22 30.0 +62 00 00 ;Op   ;OC   ;    4.80;  2591;  8.59 ;                                                       ;
FSR 431                ;Cas  ;23 22 49.0 +61 59 17 ;Op   ;OC   ;   18.70;  1622;       ;Gulliver 49                                            ;
NGC 7654               ;Cas  ;23 24 46.8 +61 35 24 ;Op   ;OC   ;   16.00;  1600;   7.77;M 52                                                   ;
Majaess 222            ;Cas  ;23 29 07.0 +59 34 20 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Mamajek 8              ;Cas  ;23 30 02.0 +58 32 56 ;Op   ;OC   ;    3.00;   190;       ;AR Cas Cl                                              ;There appears to be at least ~10 co-moving stars, i.e. AR Cas is more populous than just a higher order multiple. Dist based on revised HIP parallax for AR Cas = HIP 115990
