Name                  ;Const;Coordinates (J2000.0);Wave ;Type ;Dia_arcm;Dst_pc;E(B-V);Log_t  ;Aliases                                                                                                    ;Comments
CCCP C                ;Car  ;10 45 15.0 -60 02 00 ;IR   ;OC   ;   16.00;      ;      ;       ;                                                                                                           ;incl. CCL l2, 13, 15 to 20
CCCP-Cl 10            ;Car  ;10 45 02.4 -59 45 50 ;IR   ;OC   ;    2.70;  2300;      ;   6.36;Carina J                                                                                                   ;
CCCP-Cl 18            ;Car  ;10 45 54.0 -59 59 59 ;XR   ;OC?  ;    1.80;      ;      ;       ;                                                                                                           ;
CCCP-Cl 4             ;Car  ;10 44 29.0 -59 41 38 ;XR   ;***  ;    2.20;      ;      ;       ;                                                                                                           ;
CCCP-Cl 6             ;Car  ;10 44 37.0 -59 44 10 ;XR   ;OC?  ;    2.10;      ;      ;       ;                                                                                                           ;
CCCP-Cl 7             ;Car  ;10 44 39.0 -59 26 02 ;XR   ;***  ;    2.00;      ;      ;       ;                                                                                                           ;
CCCP-Cl 9             ;Car  ;10 44 52.0 -59 45 26 ;XR   ;***  ;    1.80;      ;      ;       ;                                                                                                           ;
CCCP-Gp 1             ;Car  ;10 42 14.0 -59 35 59 ;XR   ;***  ;    0.70;      ;      ;       ;                                                                                                           ;
CCCP-Gp 10            ;Car  ;10 43 47.0 -60 02 24 ;XR   ;***  ;    0.70;      ;      ;       ;                                                                                                           ;
CCCP-Gp 11            ;Car  ;10 44 00.0 -60 01 59 ;XR   ;***  ;    0.70;      ;      ;       ;                                                                                                           ;
CCCP-Gp 12            ;Car  ;10 44 15.0 -60 00 05 ;XR   ;***  ;    0.70;      ;      ;       ;                                                                                                           ;
CCCP-Gp 13            ;Car  ;10 44 21.0 -59 59 03 ;XR   ;***  ;    0.70;      ;      ;       ;                                                                                                           ;
CCCP-Gp 14            ;Car  ;10 44 23.0 -59 59 37 ;XR   ;OC?  ;    0.70;      ;      ;       ;                                                                                                           ;
