Name; RA_J2000_deg; De_J2000_deg; Type; Rad_deg; Dst_pc; E_B-V; Log_t; pmRA_mas; pmDe_mas; Reference; Aliases_and_associated_objects
BDB_85; 349.337500000; +59.4802777778; EC; 0.0416666667; 3210; ; 8.28; -2.88; -2.06; Alessi GEDR3; Hodapp_34, IRAS_23151+5912, KKC_50
BDB_86; 348.441666667; +61.4716666667; EC; 0.0250000000; 2470; ; ; -4.00; -2.30; Alessi GEDR3; NGC_7538-IRS1, Hodapp_33
BDB_96; 0.99583333300; +68.5694444444; EC; 0.0416666667; 1096; ; 7.15; -1.22; -1.29; Alessi GEDR3; BRC_2, IRAS_00013+6817
BDO_1; 279.070833333; -6.7247222222; EC; 0.0083333333; 4230; ; ; -0.27; -2.07; Alessi GEDR3; 
BDSB_101; 261.392916667; -34.3861111111; EC; 0.0066666667; 1790; ; ; -0.89; -2.11; Alessi GEDR3; NGC_6357_D
BDSB_12; 292.595833333; +18.3461111111; OC; 0.0100000000; 2100; ; ; -0.63; -5.44; Alessi GEDR3; YW16_2
BDSB_133; 287.641250000; +9.1283333333; EC; 0.0150000000; 3195; ; ; -1.92; -4.72; Alessi GDR2; IRAS_19081+0903, [KC97c]_G043.2-00.1
BDSB_2; 272.487500000; -24.1091666667; EC; 0.0158333333; 1250; ; ; 1.84; -1.74; Alessi GEDR3; NGC_6559, Sh2-29
BDSB_4; 274.241666667; -19.7827777778; EC; 0.0250000000; 1200; ; ; 1.67; -0.72; Alessi GEDR3; NGC_6589, vdBH_118
BDSB_40; 344.179166667; +62.6252777778; EC; 0.0241666667; 819; ; ; -0.37; -2.81; Alessi GEDR3; ALS_12698, LS_III_+62_30
BDSB_42; 346.591666667; +60.2697222222; EC; 0.0141666667; 2770; ; ; -3.77; -2.78; Alessi GEDR3; Santa_122, Kernya_16, BFS_18
BDSB_49; 14.6666666670; +61.0791666667; EC; 0.0116666667; 3410; ; ; -2.39; -1.12; Alessi GEDR3; Ced_4a
BDSB_50; 16.6875000000; +59.6766666667; EC; 0.0191666667; 3050; ; ; -2.21; -0.87; Alessi GEDR3; LS_I_+59_62, RNO_4
BDSB_52; 20.7750000000; +61.8563888889; EC; 0.0216666667; 920; ; ; -1.38; -1.33; Alessi GEDR3; Sh2-187
BDSB_53; 37.0291666670; +72.6263888889; EC; 0.0250000000; 910; ; ; -1.19; -1.43; Alessi GEDR3; Majaess_29, GN_02.23.6
BDSB_60; 57.8916666670; +51.4986111111; EC; 0.0225000000; 1102; ; ; -0.77; -2.13; Alessi GEDR3; Majaess_36, GN_03.47.9, Kr_2-1, ARO_210
BDSB_75; 91.1250000000; +30.5019444444; EC; 0.0416666667; 981; ; ; -0.14; -2.09; Alessi GEDR3; PP_52, GN_06.01.3, Ced_61, DG_86
BDSB_84; 99.6166666670; +0.7447222222; EC; 0.0125000000; 5700; ; ; -0.19; 0.38; Alessi GEDR3; Sh2-283
BDSB_85; 103.820833333; -0.5238888889; EC; 0.0250000000; 4340; ; ; -0.68; 0.35; Alessi GEDR3; Sh2-285
BDSB_86; 90.5666666670; -9.1130555556; EC; 0.0666666667; 950; ; ; -2.40; 1.05; Alessi GEDR3; GGD_10, Majaess_73
BDSB_87; 90.8750000000; -9.7305555556; EC; 0.0458333333; 805; ; ; -2.37; 1.51; Alessi GEDR3; NGC_2149, vdB-RN66, RNO_61
BDSB_89; 104.850000000; -4.2650000000; EC; 0.0333333333; 1860; ; ; -1.17; 0.68; Alessi GEDR3; BFS_59
BDSB_93; 104.297083333; -8.2019444444; OC; 0.0358333333; 1299; 0.67; 7.08; -2.41; 1.02; Cantat-Gaudin 2020b; BDSB93
