name                       RA_ICRS            DE_ICRS         Diam    
Bica_272                   89.63041700   +26.7069440          3.0    
Bica_273                   86.71666700   +25.0633330          3.2    
Bica_285                   82.35000000   +11.8672220          7.0    
Bica_3                    276.51900000   -13.0580000          1.9    
Bica_345                  108.37500000   -12.2811111          3.0    
Bica_355                  111.67083330   -15.4097222          1.9    
Bica_356                  111.64583330   -15.5316667          1.5    
Bica_360                  111.14583330   -16.3897222          2.3    
Bica_362                  107.54583330   -18.4850000          2.0    
Bica_365                  109.88625000   -17.8391667          4.0    
Bica_382                  116.21666670   -24.1300000          3.0    
Bica_4                    109.77916670   -22.0277778          3.2    
Bica_42                   272.96250000   -17.5216667          0.8    
Bica_433                  157.63562760   -60.0641062         21.4    
Bica_508                  111.22125000   -16.0069444         10.0    
Bica_59                   278.62083330    -8.7208333          1.5    
Bica_6                     76.58200000   +39.1650000          8.4    
Bica_645                  279.05250000    -7.2030556          5.0    
Bica_66                   279.07916670    -7.1502778          3.0    
Bica_82                   283.06083330    +0.4150000          4.0    
Biurakan_1                301.89700000   +35.7130000         14.4    
Biurakan_2                302.28300000   +35.4880000         16.7    
Blanco_1                    0.85300000   -29.9580000         83.9    
Bochum_1                   96.32208330   +19.7800000         24.0    
Bochum_10                 160.61200000   -59.1150000         13.2    
Bochum_11                 161.76900000   -60.0960000          6.7    
Bochum_12                 164.34000000   -61.7250000          9.0    
Bochum_13                 259.33300000   -35.5290000         12.6    
Bochum_14                 270.49800000   -23.7050000         10.8    
Bochum_15                 115.04200000   -33.5400000          5.8    
Bochum_2                  102.21000000    +0.3800000          6.0    
Bochum_3                  105.86000000    -5.0210000          4.0    
Bochum_5                  112.77000000   -16.9150000          6.0    
Bochum_6                  112.99200000   -19.4160000          9.0    
Bochum_7                  131.19000000   -45.9800000         10.2    
Bochum_9                  158.92500000   -60.1300000         12.0    
Boecker_1                   323.562500    +58.056944          7.0    
Bonatto_2                 247.87673590   -24.4659889         12.0    
Boo_I                     210.02250000   +14.5006000         12.6    
Boo_II                    209.52130000   +12.8586000          4.2    
Brand-Wouterloot_1         94.35000000   +14.9138890          2.5    
CBJC_4                    314.07300000   +44.3900000          7.2    
CBJC_7                    313.39600000   +44.7890000          5.4    
CBJC_8                    313.55800000   +44.9100000          9.6    
CCCP-Gp_4                 160.70500000   -59.4261110          1.2    
COIN-Gaia_1                11.93300000   +66.7690000         42.8    
COIN-Gaia_10               68.38500000   +40.5090000         21.2    
COIN-Gaia_11               68.11000000   +39.4790000         40.3    
COIN-Gaia_12               79.20900000   +41.7080000         36.7    
COIN-Gaia_13               83.18600000   +42.0870000        120.4    
