Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
Ara OB1                                 500                     SCHMIDT                          1958, AN,284,76
Ara OB1                                 500                     MARKARJAN                        1952, ARM.DOKL,15,13
Ara OB1                                 830                     KLARE                            1967, ZF.A,67,135
Ara OB1                                1300                     RUPRECHT                         1966, TRANS,12B,350
Ara OB1                                1400                     REDDISH                          1967, MN,135,251
Ara OB1                                1400                     WHITEOAK                         1963, MN,125,105
Ara OB1                                1400                     BECKER                           1971, AS.AP.SUP,4,241
Ara OB1                                1500                     HAVLEN                           1973, BAAS,5,267
Ara OB1A                               1100                     MELNIK A.M., DAMBIS A.K.         2009, MNRAS 400, 518
Ara OB1A A                             1590                     MELNIK A.M., EFREMOV YU.N.       1995, PIS'MA ASTRON. ZH. 21, 13
Ara OB1A B                             1350                     MELNIK A.M., EFREMOV YU.N.       1995, PIS'MA ASTRON. ZH. 21, 13
Ara OB1B                               2800                     MELNIK A.M., DAMBIS A.K.         2009, MNRAS 400, 518
Ara OB2                                2600                     HAVLEN                           1973, BAAS,5,267
Archinal 1                             1436     1.48    7.10    Bukowiecki L., et al.            2011, AcA 62
Archinal 1                             1453     1.52    8.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Arp 2                                 28730                     Baumgart                         2021, website
Arp-Madore 2                           8870     0.57    9.70    LEE M.-G.                        1997, AJ 113, 729
Arp-Madore 2                          11967     0.47    9.35    Bukowiecki L., et al.            2011, AcA 62
Arp-Madore 2                          13338     0.57    9.335   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Ass 64.1                               2000                     LODEN                            1971, AS.AP,15,332
Ass 69.1                                500                     ANTALOVA                         1972, BAC,23,126
Auner 1                                7154     0.40    9.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Auner 1                                8433             9.699   Hasegawa G., et al.              2008, PASJ 60, 1267H
Auner 1                                9145     0.26    9.60    Bukowiecki L., et al.            2011, AcA 62
Aur OB1                                 870                     MARKARJAN                        1952, ARM.DOKL,15,13
Aur OB1                                1000                     AMBARCUMJAN                      1949, DOKL.AK,68,22
Aur OB1                                1100                     MELNIK A.M., DAMBIS A.K.         2009, MNRAS 400, 518
Aur OB1                                1150                     MORGAN                           1953, AP.J,118,318
Aur OB1                                1150                     SHARPLESS                        1965, SSS,5,131
Aur OB1                                1150                     DIETER                           1960, AP.J,132,49
Aur OB1                                1170                     SCHMIDT                          1958, AN,284,76
Aur OB1                                1170                     KELLER                           1970, WIEN.AN,29,N3
Aur OB1                                1200                     MOHR                             1957, BAC,8,146
Aur OB1                                1360                     MELNIK A.M., EFREMOV YU.N.       1995, PIS'MA ASTRON. ZH. 21, 13
Aur OB1                                1430                     RUPRECHT                         1966, TRANS,12B,350
Aur OB2                                2400                     MELNIK A.M., DAMBIS A.K.         2009, MNRAS 400, 518
Aur OB2                                2680                     MELNIK A.M., EFREMOV YU.N.       1995, PIS'MA ASTRON. ZH. 21, 13
Aur OB2                                2960                     KELLER                           1970, WIEN.AN,29,N3
Aur OB2                                2960                     SCHMIDT                          1958, AN,284,76
Aur OB2                                2960                     DIETER                           1960, AP.J,132,49
Aur OB2                                3600                     RUPRECHT                         1966, TRANS,12B,350
Aur OB2                                4170                     WALKER                           1968, PASP,80,290
Aveni-Hunter 1                          400             6.60    AVENI                            1969, AJ,74,1021
Aveni-Hunter 1                          500     0.10    8.186   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
B 217                                  2800     0.75    9.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
B 30                                    772     0.50    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
B 35                                    612     0.21    8.920   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDB 94                                 1700     1.40    7.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDS2003 158                            7500             8.60    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
BDSB 10                                 818     1.67    7.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 102                               2837     1.51    6.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 105                               1129     2.29    7.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
