Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
NGC 7243                                230                     CHARLIER                         1918, LD.M,S2,N19,19
NGC 7243                                660                     KOPYLOV                          1960, VOP.KOS,7,258
NGC 7243                                690                     RIEKE                            1935, HC,397
NGC 7243                                706     0.240   7.959   MIANES P.                        1957, J.OBSERVATEURS 40, 65
NGC 7243                                740                     MAVERS                           1940, AN,270,201
NGC 7243                                750                     TRUMPLER                         1930, LOB,14,175,158
NGC 7243                                750                     ZUG                              1933, LOB,16,135
NGC 7243                                760                     HILL                             1971, AJ,76,110
NGC 7243                                767     0.240   7.845   HILL G.,BARNES J.V.              1971, ASTRON.J. 76, 110
NGC 7243                                769     0.255   7.90    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 7243                                790                     SHAPLEY                          1930, ST.CL,233
NGC 7243                                795                     COLLINDER                        1931, LD.AN,2,LK
NGC 7243                                795                     COLLINDER                        1931, LD.AN,2,CR,B45
NGC 7243                                834     0.245   7.88    MALYSHEVA, I. K.                 1997, ASTRON LETTERS 23, 5, 585-590
NGC 7243                                850     0.22    7.965   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7243                                870                     BECKER                           1971, AS.AP.SUP,4,241
NGC 7243                                875                     VAN SCHEWICK                     1971, BONN.VER,N84
NGC 7243                                875                     BECKER                           1958, ZF.A,45,269
NGC 7243                                875             7.41    LINDOFF                          1968, SV.ARK.A,5,1
NGC 7243                                875                     BECKER                           1963, ZF.A,57,117
NGC 7243                                875                     BECKER                           1961, ZF.A,51,151
NGC 7243                                875             9.13    SCHMIDT                          1963, AN,287,41
NGC 7243                                880                     NECKEL                           1967, HEID.VER,19,N1184
NGC 7243                                880                     ARTJUHINA                        1965, A.ZH,42,1050
NGC 7243                                880                     MIANES                           1956, HA.PR.P,3,N51
NGC 7243                                880                     MIANES                           1957, JO,40,65
NGC 7243                                900                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 7243                                960                     BECKER                           1954, ZF.A,34,1
NGC 7243                               1100                     BARHATOVA                        1950, A.ZH,27,186
NGC 7245                               1500                     CHARLIER                         1918, LD.M,S2,N19,19
NGC 7245                               1560                     KARAALI                          1971, IST.PB,N92
NGC 7245                               1560     0.41            KARAALI                          1969, IST.UN,C34,149
NGC 7245                               1598     0.440   8.217   KARAALI S.                       1969, PUBL.ISTANBUL UNIV.OBS. 34, 149
NGC 7245                               1925                     YILMAZ                           1970, AS.AP,8,213
NGC 7245                               2000                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
NGC 7245                               2100             9.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
NGC 7245                               2270                     BARHATOVA                        1950, A.ZH,27,186
NGC 7245                               2412     0.24    8.85    Bukowiecki L., et al.            2011, AcA 62
NGC 7245                               2800     0.40    8.50    VISKUM M., ET AL.                1997, A&A 328, 158
NGC 7245                               2920                     TRUMPLER                         1930, LOB,14,175
NGC 7245                               4000     0.48    8.550   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7245                               4550                     COLLINDER                        1931, LD.AN,2,LK
NGC 7245                               5010                     SHAPLEY                          1930, ST.CL,233
NGC 7261                                        1.06            POLISHCHUK                       1970, AM.AF,9,17
NGC 7261                                700                     JOHNSON                          1961, LOW.B,5,N8
NGC 7261                                700                     NECKEL                           1967, HEID.VER,19,M1344
NGC 7261                                700                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 7261                                700             8.58    SCHMIDT                          1963, AN,287,41
NGC 7261                                750     0.58            HAGEN                            1970, DOP,4,34
NGC 7261                                800             7.60    LINDOFF                          1968, SV.ARK.A,5,1
NGC 7261                                800                     BECKER                           1963, ZF.A,57,117
NGC 7261                               1200                     HOAG                             1965, AP.J.SUPPL,N107
NGC 7261                               1400                     BARHATOVA                        1950, A.ZH,27,186
NGC 7261                               1491     1.040   7.465   FENKART R.P.ET AL.               1972, ASTRON.ASTROPHYS.SUPPL. 7, 487
NGC 7261                               1500     1.050   7.30    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 7261                               1580             8.86    VASILEVSKIJ                      1972, A.ZH,49,378
NGC 7261                               1770                     TRUMPLER                         1930, LOB,14,175
NGC 7261                               1975     0.69    7.60    Bukowiecki L., et al.            2011, AcA 62
NGC 7261                               2692     0.92    7.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7261                               3120                     COLLINDER                        1931, LD.AN,2,CR
NGC 7261                               3120                     COLLINDER                        1931, LD.AN,2,LK
NGC 7261                               3230             7.00    FENKART                          1968, MEM.SA.IT,39,85
NGC 7261                               3240                     BECKER                           1971, AS.AP.SUP,4,241
NGC 7281                               1600     0.50    7.860   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7296                               2013     0.19    8.675   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7296                               2650                     BARHATOVA                        1950, A.ZH,27,186
NGC 7296                               2694     0.24    8.35    Bukowiecki L., et al.            2011, AcA 62
NGC 7296                               2920                     TRUMPLER                         1930, LOB,14,175
NGC 7296                               2930     0.15    8.00    NETOPIL M., ET AL.               2005, AN 326, 734
NGC 7296                               3850                     COLLINDER                        1931, LD.AN,2,LK
NGC 7296                               3850                     COLLINDER                        1931, LD.AN,2,CR
NGC 7352                               2550     1.10    7.699   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 7380                                        0.61            POLISHCHUK                       1970, AM.AF,9,17
NGC 7380                                        0.63            STARIKOVA                        1968, A.ZH,45,795
NGC 7380                                790                     SHAPLEY                          1930, ST.CL,233
NGC 7380                               1470                     BARHATOVA                        1950, A.ZH,27,186
NGC 7380                               1500                     KOPYLOV                          1952, KRIM.IZV,8,122
NGC 7380                               1560                     SANFORD                          1949, AP.J,110,117
NGC 7380                               1700                     MARKARJAN                        1951, BIUR.SOOB,9,7
NGC 7380                               1800     0.60    7.250   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7380                               1840                     TRUMPLER                         1930, LOB,14,175,158
NGC 7380                               1900                     WEAVER                           1953, AJ,58,179
NGC 7380                               2100                     DLUZHNEVSKAJA                    1965, NAUTCH.INF,N2
NGC 7380                               2100                     FEAST                            1967, MN,136,161
NGC 7380                               2100     0.50            HAGEN                            1970, DOP,4,34
NGC 7380                               2100             9.31    SCHMIDT                          1963, AN,287,41
NGC 7380                               2100                     JOHNSON                          1961, LOW.B,5,N8
NGC 7380                               2100                     HOAG                             1965, AP.J.SUPPL,N107
NGC 7380                               2100                     NECKEL                           1967, HEID.VER,19,N1387
NGC 7380                               2100                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 7380                               2170                     COLLINDER                        1931, LD.AN,2,LK
NGC 7380                               2170                     COLLINDER                        1931, LD.AN,2,CR
NGC 7380                               2375     0.50    7.25    Bukowiecki L., et al.            2011, AcA 62
NGC 7380                               2380             7.18    LINDOFF                          1968, SV.ARK.A,5,1
NGC 7380                               2380                     BECKER                           1963, ZF.A,57,117
NGC 7380                               2400                     SCHWARTZ                         1969, AG.MITT,27,178
NGC 7380                               2400                     HOAG                             1965, VISTAS,8,139
NGC 7380                               2538     0.610   7.018   HOAG A.A.,JOHNSON H.L.,ET AL.    1961, PUBL.US NAV.OBS. 17, PART 7, 343
NGC 7380                               2559     0.562   7.10    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 7380                               2820                     BECKER                           1971, AS.AP.SUP,4,241
NGC 7380                               2938     0.60    6.96    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 7380                               2950                     UNDERHILL                        1969, AS.AP,1,356
NGC 7380                               3160                     WALKER                           1968, PASP,80,290
NGC 7380                               3227     0.580   6.889   MOFFAT A.F.J.                    1971, ASTRON.ASTROPHYS. 13, 30
NGC 7380                               3600             6.30    MOFFAT                           1971, AS.AP,13,30
NGC 7394                               1310     0.35    8.778   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 7419                               1300                     BARHATOVA                        1930, A.ZH,27,186
NGC 7419                               1490     1.57    7.35    Bukowiecki L., et al.            2011, AcA 62
NGC 7419                               2000             7.30    BUCKNER ET AL.                   2014, MNRAS 444, 290
NGC 7419                               2100     1.90    7.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7419                               2300     1.71v   7.15    BHATT B.C., ET AL.               1993, BAS INDIA 21, 33
NGC 7419                               2488     1.71    7.15    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 7419                               4100                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
NGC 7419                               5010                     SHAPLEY                          1930, ST.CL,233
NGC 7419                               5320                     TRUMPLER                         1930, LOB,14,175
NGC 7419                               6000                     MOFFAT                           1973, AS.AP,23,317
NGC 7419                              11110                     COLLINDER                        1931, LD.AN,2,CR
NGC 7419                              11110                     COLLINDER                        1931, LD.AN,2,LK
NGC 7423                               4000             9.10    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
NGC 7423                               4677     0.37    9.15    Bukowiecki L., et al.            2011, AcA 62
NGC 7423                               6001     0.50    8.901   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7429                               1190     1.16    7.602   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 7429                               1250     0.95    8.080   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 743                                1060                     ALTER                            1944, MN,104,189
NGC 743                                1060                     TUMANJAN                         1948, ARM.DOKL,9,7
NGC 743                                1100     0.45    8.290   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 743                                1618     0.95    8.699   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 7438                               1000     0.35    8.800   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 744                                         0.46            POLISHCHUK                       1970, AM.AF,9,17
NGC 744                                         0.42            STARIKOVA                        1968, A.ZH,45,795
NGC 744                                 740                     TRUMPLER                         1930, LOB,14,170
NGC 744                                 800                     BARHATOVA                        1950, A.ZH,27,181
NGC 744                                1042     0.500   8.10    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 744                                1050                     HOAG                             1965, VISTAS,8,139
NGC 744                                1188     0.453   7.988   HOAG A.A.,JOHNSON H.L.,ET AL.    1961, PUBL.US NAV.OBS. 17, PART 7, 343
NGC 744                                1382     0.38    8.375   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 744                                1400     0.41            HAGEN                            1970, DOP,4,8
NGC 744                                1448     0.39    8.05    Bukowiecki L., et al.            2011, AcA 62
NGC 744                                1490                     NECKEL                           1967, HEID.VER,19,N1954
NGC 744                                1490                     JOHNSON                          1961, LOW.B,5,N8
NGC 744                                1500                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 744                                1520                     BECKER                           1971, AS.AP.SUP,4,241
NGC 744                                1520             7.59    LINDOFF                          1968, SV.ARK.A,5,1
NGC 744                                1520                     BECKER                           1963, ZF.A,57,117
NGC 744                                1585                     HOAG                             1965, AP.J.SUPPL,N107
NGC 744                                2220                     COLLINDER                        1931, LD.AN,2,LK
NGC 744                                2220                     COLLINDER                        1931, LD.AN,2,CR
NGC 7492                              24390                     Baumgart                         2021, website
NGC 7510                                        1.07            POLISHCHUK                       1970, AM.AF,9,17
NGC 7510                                        1.15            STARIKOVA                        1968, A.ZH,45,795
NGC 7510                               1150                     BARHATOVA                        1950, A.ZH,27,186
NGC 7510                               2100     0.95    7.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7510                               2114     0.82    7.65    Bukowiecki L., et al.            2011, AcA 62
NGC 7510                               2200                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 7510                               2240                     BECKER                           1961, ZF.A,51,151
NGC 7510                               2240                     BECKER                           1958, ZF.A,45,269
NGC 7510                               2500                     BECKER                           1955, ZF.A,38,81
NGC 7510                               2600                     KOPYLOV                          1952, KRIM.IZV,8,122
NGC 7510                               2600                     MARKARJAN                        1951, BIUR.SOOB,9,7
NGC 7510                               2750                     SHAPLEY                          1930, ST.CL,233
NGC 7510                               2755                     HOAG                             1965, VISTAS,8,139
NGC 7510                               2880                     BECKER                           1971, AS.AP.SUP,4,241
NGC 7510                               2900                     BECKER                           1963, ZF.A,57,117
NGC 7510                               2900             7.00    LINDOFF                          1968, SV.ARK.A,5,1
NGC 7510                               2900                     WEAVER                           1953, AJ,58,179
NGC 7510                               3120                     COLLINDER                        1931, LD.AN,2,LK
NGC 7510                               3120                     COLLINDER                        1931, LD.AN,2,CR
NGC 7510                               3160     1.12    7.00    SAGAR R., GRIFFITHS W.K.         1991, MNRAS 250, 683
NGC 7510                               3160                     HOAG                             1965, AP.J.SUPPL,N107
NGC 7510                               3300             8.45    SCHMIDT                          1963, AN,287,41
NGC 7510                               3300                     NECKEL                           1967, HEID.VER,19,N1437
NGC 7510                               3300     0.89            HAGEN                            1970, DOP,4,36
NGC 7510                               3300                     JOHNSON                          1961, LOW.B,5,N8
NGC 7510                               3480     0.90    7.35    PAUNZEN E., ET AL.               2005, A&A 443, 157
NGC 7510                               3746     1.02    7.00    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 7510                               4100                     ZUG                              1933, LOB,16,136
NGC 7510                               5040                     TRUMPLER                         1930, LOB,14,175
NGC 752                                         0.04            CRAWFORD                         1970, BAAS,2,305
NGC 752                                         0.07            STARIKOVA                        1968, A.ZH,45,795
NGC 752                                                 8.60    BARBARO                          1967, PAD.PUB,N138
NGC 752                                                 9.08    CANNON                           1970, MN,150,111
NGC 752                                 100                     CHARLIER                         1918, LD.M,S2,N19,19
NGC 752                                 352     0.046   9.497   JOHNSON H.L.                     1953, ASTROPHYS.J. 117, 356
NGC 752                                 355                     REBEIROT                         1970, AS.AP,4,404
NGC 752                                 355                     EGGEN                            1963, AP.J,138,356
NGC 752                                 355                     VAN SCHEWICK                     1971, BONN.VER,N84
NGC 752                                 360                     COLLINDER                        1931, LD.AN,2,LK
NGC 752                                 360     0.03            HAGEN                            1970, DOP,4,8
NGC 752                                 360                     COLLINDER                        1931, LD.AN,2,CR
NGC 752                                 360             9.40    BELL                             1972, MN,157,147
NGC 752                                 364                     WALLENQUIST                      1959, UP.AN,4,N6
NGC 752                                 378     0.062   9.361   EGGEN O.J.                       1963, ASTROPHYS.J. 138, 356
NGC 752                                 380                     JOHNSON                          1961, LOW.B,5,N8
NGC 752                                 380                     BECKER                           1963, ZF.A,57,117
NGC 752                                 380             8.33    LINDOFF                          1968, SV.ARK.A,5,1
NGC 752                                 380             9.82    SCHMIDT                          1963, AN,287,41
NGC 752                                 380             9.20    VASILEVSKIJ                      1972, A.ZH,49,378
NGC 752                                 380                     BARHATOVA                        1963, URAL.SB,N1,3
NGC 752                                 380                     BECKER                           1971, AS.AP.SUP,4,241
NGC 752                                 380                     NECKEL                           1967, HEID.VER,19,N2153
NGC 752                                 386     0.054   8.91    MALYSHEVA, I. K.                 1997, ASTRON LETTERS 23, 5, 585-590
NGC 752                                 390                     TRUMPLER                         1930, LOB,14,170,156
NGC 752                                 400                     CRAWFORD                         1970, AJ,75,946
NGC 752                                 400                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 752                                 400                     BARHATOVA                        1950, A.ZH,27,181
NGC 752                                 420     0.04    9.26    DANIEL S.A., ET AL.              1994, PASP 106, 281
NGC 752                                 425     0.03    9.30    DZERVITIS U., PAUPERS O.         1993, AP&SS199, 77
NGC 752                                 437                     JUNGKVIST                        1931, UP.M,52,1
NGC 752                                 440     0.03    9.19    ANTHONY-TWAROG B.A., TWAROG B.A. 2004, AJ 127, 1000
NGC 752                                 450             9.70    ROHLFS                           1961, HBG.ABH,5,N11
NGC 752                                 450     0.04    9.130   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 752                                 475                     GOTTLIEB                         1972, AS.AP,19,449
NGC 752                                 480                     KOPYLOV                          1960, VOP.KOS,7,258
NGC 752                                 500                     DOIG                             1926, JBAA,36,109
NGC 752                                 555                     RAAB                             1922, LD.M,S2,N30,20
NGC 752                                1050                     SHAPLEY                          1930, ST.CL,228
NGC 752                                1760                     MALMQUIST                        1926, LD.M,S1,N111
NGC 7538                               2800     1.15    6.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7686                                        0.08            STARIKOVA                        1968, A.ZH,45,795
NGC 7686                                        0.75            POLISHCHUK                       1970, AM.AF,9,17
NGC 7686                                520                     SVOLOPOULOS                      1961, AP.J,134,612
NGC 7686                                790                     TRUMPLER                         1930, LOB,14,175
NGC 7686                                910                     BARHATOVA                        1950, A.ZH,27,186
NGC 7686                               1534     0.20    9.301   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 7686                               1690                     COLLINDER                        1931, LD.AN,2,CR
NGC 7686                               1690                     COLLINDER                        1931, LD.AN,2,LK
NGC 7686                               2100     0.40    9.053   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7708                               1607     0.42    9.301   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 7708                               1952     0.77    8.760   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7762                                450                     CHARLIER                         1918, LD.M,S2,N19,18
NGC 7762                                728     0.765   9.226   ZAKHAROVA P.E.                   1978, URALS UNIV.SB. 106
NGC 7762                                753     0.76    9.23    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 7762                                780     0.55    9.320   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7762                                800     0.85    8.25    PATAT F., CARRARO G.             1995, A&AS 114, 281
NGC 7762                                824     0.37    9.55    Bukowiecki L., et al.            2011, AcA 62
NGC 7762                                830             9.00    ZAHAROVA                         1972, AC,N740,6
NGC 7762                                900                     BARHATOVA                        1950, A.ZH,27,186
NGC 7762                               1000     1.02            HAGEN                            1970, DOP,4,36
NGC 7762                               1020                     CHINCARINI                       1966, MEM.SA.IT,37,423
NGC 7762                               1250                     TRUMPLER                         1930, LOB,14,175
NGC 7762                               2600                     COLLINDER                        1931, LD.AN,2,LK
NGC 7762                               4570                     SHAPLEY                          1930, ST.CL,233
NGC 7772                               1250     0.45    9.162   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7788                                        0.31            POLISHCHUK                       1970, AM.AF,9,17
NGC 7788                               1580                     BARHATOVA                        1950, A.ZH,27,186
NGC 7788                               1600                     KOPYLOV                          1952, KRIM.IZV,8,122
NGC 7788                               2000                     SHAPLEY                          1930, ST.CL,233
NGC 7788                               2200     0.49    7.480   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7788                               2291     0.532   7.00    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 7788                               2300                     WEAVER                           1953, AJ,58,179
NGC 7788                               2400                     HAUG                             1970, AS.AP.SUP,1,49
NGC 7788                               2400     0.28            HAGEN                            1970, DOP,4,36
NGC 7788                               2400                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 7788                               2410                     BECKER                           1961, ZF.A,51,151
NGC 7788                               2410                     BECKER                           1965, ASIAGO.CONTR,179
NGC 7788                               2410                     BECKER                           1963, ZF.A,57,117
NGC 7788                               2410             7.20    LINDOFF                          1968, SV.ARK.A,5,1
NGC 7788                               2410                     NECKEL                           1967, HEID.VER,19,N1515
NGC 7788                               2410                     BECKER                           1971, AS.AP.SUP,4,241
NGC 7788                               2440                     COLLINDER                        1931, LD.AN,2,LK
NGC 7788                               2440                     COLLINDER                        1931, LD.AN,2,CR
NGC 7788                               2441     0.41    7.65    Bukowiecki L., et al.            2011, AcA 62
NGC 7788                               2470                     TRUMPLER                         1930, LOB,14,175
NGC 7788                               2528     0.300   7.518   BECKER W.                        1965, MEM.SOC.ASTRON.ITAL. 36, 277
NGC 7788                               3500                     BARHATOVA                        1963, URAL.SB,1,33
NGC 7789                                        0.24            STARIKOVA                        1968, A.ZH,45,795
NGC 7789                                                9.04    CANNON                           1970, MN,150,111
NGC 7789                                               11.09    BARBARO                          1967, PAD.PUB,N138
NGC 7789                                150                     CHARLIER                         1918, LD.M,S2,N19,19
NGC 7789                               1000                     KOPYLOV                          1952, KRIM.IZV,8,122
NGC 7789                               1024                     WALLENUIST                       1959, UP.AN,4,N6
NGC 7789                               1140                     TRUMPLER                         1930, LOB,14,175,158
NGC 7789                               1200                     BARHATOVA                        1950, A.ZH,27,186
NGC 7789                               1600                     KOPYLOV                          1952, KRIM.IZV,8,122
NGC 7789                               1720                     COLLINDER                        1931, LD.AN,2,LK
NGC 7789                               1720                     COLLINDER                        1931, LD.AN,2,CR
NGC 7789                               1750     0.29    9.15    VALLENARI A., ET AL.             2000, A&A 353, 147
NGC 7789                               1770                     ROHLFS                           1961, ZF.A,53,155
NGC 7789                               1800     0.22    9.265   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7789                               1800     0.26            HAGEN                            1970, DOP,4,36
NGC 7789                               1820                     VAN SCHEWICK                     1971, BONN.VER,N84
NGC 7789                               1840     0.25            BARTASIUTE S., TAUTVAISIENE G.   2004, AP&SS 294, 225
NGC 7789                               1850                     BERGH                            1960, DOP,2,203
NGC 7789                               1870                     BARHATOVA                        1963, URAL.SB,1,3
NGC 7789                               1870                     BECKER                           1963, ZF.A,57,117
NGC 7789                               1870                     NECKEL                           1967, HEID.VER,19,N1487
NGC 7789                               1870                     BECKHER                          1971, AS.AP.SUP,4,241
NGC 7789                               1870                     JOHNSON                          1961, LOW.B,5,N8
NGC 7789                               1870                     KOROLEVA                         1971, A.ZH,48,1280
NGC 7789                               1870            10.07    SCHMIDT                          1963, AN,287,41
NGC 7789                               1870                     BURBIDGE                         1958, AP.J,128,174
NGC 7789                               1870             8.96    LINDOFF                          1968, SV.ARK.A,5,1
NGC 7789                               1870                     BECKER                           1961, ZF.A,51,151
NGC 7789                               1900                     BUSCOMBE                         1963, MT.SIR.MIM,N6
NGC 7789                               1900             9.20    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
NGC 7789                               1953     0.21    9.15    Bukowiecki L., et al.            2011, AcA 62
NGC 7789                               2000                     OZSVATH                          1960, HBG.ABH,5,N6
NGC 7789                               2000             9.10    VASILEVSKIJ                      1972, A.ZH,49,378
NGC 7789                               3300                     SHAPLEY                          1920, M.W.CONTR,9,323
NGC 7789                               3700                     SHAPLEY                          1919, M.W.COM,62
NGC 7789                               3980                     SHAPLEY                          1930, ST.CL,233
NGC 7789                               7200                     PEDDISH                          1954, MN,114,587
NGC 7790                                        0.52            STARIKOVA                        1968, A.ZH,45,795
NGC 7790                                                8.00    BARBARO                          1967, PAD.PUB,N138
NGC 7790                                                7.85    BARBARO                          1969, AP.SP.SC,3,123
NGC 7790                                250                     SANDAGE                          1958, AP.J,128,150
NGC 7790                               1100                     COLLINDER                        1931, LD.AN,2,CR
NGC 7790                               1100                     COLLINDER                        1931, LD.AN,2,LK
NGC 7790                               1200                     BARHATOVA                        1950, A.ZH,27,186
NGC 7790                               1200                     KOPYLOV                          1952, KRIM.IZV,8,122
NGC 7790                               1350                     CAHN                             1973, AS.AP,25,478
NGC 7790                               2454     0.605   7.56    MALYSHEVA, I. K.                 1997, ASTRON LETTERS 23, 5, 585-590
NGC 7790                               2600                     TRUMPLER                         1930, LOB,14,175
NGC 7790                               2667     0.535   7.75    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 7790                               2679     0.560   7.788   ALCALA J.M.,FERRO A.A.           1988, REV.MEX.ASTRON. Y ASTROFIS. 16, 81
NGC 7790                               2750                     SHAPLEY                          1930, ST.CL,233
NGC 7790                               2850     0.59            ALCALA J.M., ARELLANO FERRO A.   1988, RMXAA 16, 81
NGC 7790                               2900     0.53    8.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7790                               2939     0.498   7.959   SANDAGE A.R.                     1958, ASTROPHYS.J. 128, 150
NGC 7790                               3100     0.53    7.74    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 7790                               3150                     BECKER                           1961, ZF.A,51,151
NGC 7790                               3150             7.45    LINDOFF                          1968, SV.ARK.A,5,1
NGC 7790                               3150                     BECKER                           1963, ZF.A,57,117
NGC 7790                               3160                     BECKER                           1971, AS.AP.SUP,4,241
NGC 7790                               3200     0.54    8.10    GUPTA A.C., ET AL.               2000, A&AS 145, 365
NGC 7790                               3200                     BUSCOMBE                         1963, MT.STR.MIM,N6
NGC 7790                               3227     0.523   7.599   PEDREROS M. ET AL.               1984, ASTROPHYS.J. 286,  563
NGC 7790                               3300     0.51    8.08    ROMEO G., ET AL.                 1989, MNRAS 240, 459
NGC 7790                               3350     0.54    7.88    LEE J.-D., LEE S.-G.             1999, JKAS 32, 91
NGC 7790                               3401     0.50    7.90    Bukowiecki L., et al.            2011, AcA 62
NGC 7790                               3548     0.55    7.85    PHELPS R.L., JANES K.A.          1994, APJS 90, 31
NGC 7790                               3600                     JOHNSON                          1961, LOW.B,5,N8
NGC 7790                               3600     0.52            HAGEN                            1970, DOP,4,36
NGC 7790                               3600                     NECKEL                           1967, HEID.VER,19,N1525
NGC 7790                               3600             9.17    SCHMIDT                          1963, AN,287,41
NGC 7795                               2105     1.00    8.653   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 7795                               4901     0.90    9.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7801                               1275     0.17    9.230   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 7801                               1953     0.15    9.255   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 7826                                620     0.03    9.342   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 7833                               1410     0.06    9.301   TADROSS, A. L.                   2011, JKAS 44 (1), 1
NGC 869                                                 7.00    CANNON                           1970, MN,150,111
NGC 869                                                 7.08    BARBARO                          1967, PAD.PUB,N138
NGC 869                                         0.57            STARIKOVA                        1968, A.ZH,45,795
NGC 869                                                 6.48    TOVMASIAN                        1963, BIUR.SOOB,33,87
NGC 869                                                 7.08    BARBARO                          1969, AP.SP.SC,3,123
NGC 869                                 110                     BARHATOVA                        1950, A.ZH,27,181
NGC 869                                 114                     OPIK                             1932, HC,380
NGC 869                                 125                     CHARLIER                         1918, LD.M,S2,N19.19
NGC 869                                 220                     BLAAUW                           1964, IAU.SYMP,20,50
NGC 869                                 250                     BALANOVSKIJ                      1924, PUL.B,9,277
NGC 869                                 250                     SCHOUTEN                         1918, AN,208,319
NGC 869                                 250                     SCHOUTEN                         1919, OBS,42,112
NGC 869                                 475                     RAAB                             1922, LD.M,S2,N30,21
NGC 869                                 500                     DOIG                             1925, JBAA,35,204
NGC 869                                 500                     DOIG                             1926, JBAA,37,109
NGC 869                                1000                     GRIGORJEVA                       1937, A.ZH,14,114
NGC 869                                1200                     SHAPLEY                          1917, MW.COM,62
NGC 869                                1200                     KOPYLOV                          1952, KRIM.IZV,8,122
NGC 869                                1330                     ZUG                              1933, LOB,16,127
