Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
Stock 10                 ; 2020A&A...640A...1C ; 0.138;  7.91
Stock 10                 ; Dias 2021           ; 0.151;  8.367
Stock 10                 ; Kharchenko+ 2013    ; 0.079;  8.420
Stock 10                 ; Tarricq 2021        ;      ;  7.92
Stock 12                 ; 2016DAML            ; 0.06 ;  8.40
Stock 12                 ; 2019 Bossini        ; 0.087;  8.188
Stock 12                 ; 2020A&A...640A...1C ; 0.091;  8.05
Stock 12                 ; Dias 2021           ; 0.135;  8.245
Stock 12                 ; Kharchenko+ 2013    ; 0.050;  8.450
Stock 12                 ; Tarricq 2021        ;      ;  8.05
Stock 13                 ; 2016DAML            ; 0.218;  7.222
Stock 13                 ; Kharchenko+ 2013    ; 0.221;  7.370
Stock 14                 ; 2016DAML            ; 0.21 ;  7.30
Stock 14                 ; 2020A&A...640A...1C ; 0.125;  7.56
Stock 14                 ; Dias 2021           ; 0.304;  7.151
Stock 14                 ; Kharchenko+ 2013    ; 0.312;  6.800
Stock 15                 ; BDCC                ; 0.00 ;  9.01
Stock 15                 ; wilton.unifei.edu.br;      ;  8.23
Stock 16                 ; 2016DAML            ; 0.52 ;  6.90
Stock 16                 ; Kharchenko+ 2013    ; 0.521;  6.780
Stock 17                 ; 2016DAML            ; 0.736;  6.775
Stock 17                 ; Kharchenko+ 2013    ; 0.700;  7.000
Stock 18                 ; 2016DAML            ; 0.71 ;  8.10
Stock 18                 ; 2020A&A...640A...1C ; 0.606;  7.12
Stock 18                 ; Kharchenko+ 2013    ; 0.177;  8.680
Stock 18                 ; Tarricq 2021        ;      ;  7.17
Stock 2                  ; 2016DAML            ; 0.38 ;  8.23
Stock 2                  ; 2020A&A...640A...1C ; 0.156;  8.60
Stock 2                  ; Dias 2021           ; 0.255;  8.905
Stock 2                  ; Kharchenko+ 2013    ; 0.339;  8.440
Stock 2                  ; Tarricq 2021        ;      ;  8.60
Stock 20                 ; 2016DAML            ; 0.200;  8.337
Stock 20                 ; 2020A&A...640A...1C ; 0.341;  7.28
Stock 20                 ; Dias 2021           ; 0.478;  7.124
Stock 20                 ; Kharchenko+ 2013    ; 0.200;  8.337
Stock 21                 ; 2016DAML            ; 0.416;  8.825
Stock 21                 ; 2020A&A...640A...1C ; 0.378;  8.45
Stock 21                 ; Dias 2021           ; 0.475;  8.639
Stock 21                 ; Kharchenko+ 2013    ; 0.416;  8.825
Stock 21                 ; Tarricq 2021        ;      ;  8.49
Stock 23                 ; 2016DAML            ; 0.26 ;  7.51
Stock 23                 ; 2019 Bossini        ; 0.242;  7.973
Stock 23                 ; 2020A&A...640A...1C ; 0.191;  8.04
Stock 23                 ; Dias 2021           ; 0.266;  8.363
Stock 23                 ; Kharchenko+ 2013    ; 0.200;  8.300
Stock 23                 ; Tarricq 2021        ;      ;  8.05
Stock 24                 ; 2016DAML            ; 0.50 ;  8.08
Stock 24                 ; 2020A&A...640A...1C ; 0.391;  8.08
Stock 24                 ; Dias 2021           ; 0.578;  8.122
Stock 24                 ; Kharchenko+ 2013    ; 0.550;  7.985
Stock 24                 ; Tarricq 2021        ;      ;  8.16
Stock 3                  ; 2016DAML            ; 0.708;  7.850
Stock 3                  ; Dias 2021           ; 0.760;  7.226
Stock 3                  ; Kharchenko+ 2013    ; 0.708;  7.850
Stock 4                  ; 2016DAML            ; 0.10 ;  8.70
Stock 4                  ; 2020A&A...640A...1C ; 0.175;  7.85
Stock 4                  ; Dias 2021           ; 0.272;  7.820
Stock 4                  ; Kharchenko+ 2013    ; 0.050;  8.600
Stock 4                  ; Tarricq 2021        ;      ;  7.88
Stock 5                  ; 2016DAML            ; 0.40 ;  7.73
Stock 5                  ; 2020A&A...640A...1C ; 0.378;  8.12
Stock 5                  ; Dias 2021           ; 0.554;  8.127
Stock 5                  ; Kharchenko+ 2013    ; 0.489;  7.700
Stock 5                  ; Tarricq 2021        ;      ;  8.14
Stock 6                  ; 2016DAML            ; 0.40 ;  8.48
Stock 7                  ; 2020A&A...640A...1C ; 0.456;  7.86
Stock 7                  ; Dias 2021           ; 0.524;  8.002
Stock 7                  ; Kharchenko+ 2013    ; 0.531;  7.800
Stock 7                  ; Tarricq 2021        ;      ;  7.89
Stock 8                  ; 2016DAML            ; 0.40 ;  6.30
Stock 8                  ; 2020A&A...640A...1C ; 0.366;  7.16
Stock 8                  ; Dias 2021           ; 0.544;  6.994
Stock 8                  ; Kharchenko+ 2013    ; 0.604;  7.050
Stock 8                  ; Tarricq 2021        ;      ;  7.20
Strottner 1              ; Garro 2021 priv     ; 1.88 ; 10.00
TC 1453-7658             ; 2020Alessi          ; 0.12 ;  8.40
TLC 13                   ; Kerr 2021           ;      ;  7.477
TLC 14                   ; Kerr 2021           ;      ;  7.505
TLC 17                   ; Kerr 2021           ;      ;  7.618
TLC 24                   ; Kerr 2021           ;      ;  7.528
TLC 25                   ; Kerr 2021           ;      ;  7.328
TLC 26                   ; Kerr 2021           ;      ;  7.407
TLC 3                    ; Kerr 2021           ;      ;  7.025
TLC 8                    ; Kerr 2021           ;      ;  7.377
TW Hya                   ; Kerr 2021           ;      ;  7.033
Tau R2                   ; BDCC                ; 0.22 ;
Taurion                  ; BDCC                ;      ;  7.30
Taurus I                 ; BDCC                ; 2.24 ;  8.20
Taurus II                ; BDCC                ;      ;  6.18
Taurus III               ; BDCC                ;      ;  6.18
Taurus IV                ; BDCC                ;      ;  6.18
Taurus IX                ; BDCC                ;      ;  6.18
Taurus V                 ; BDCC                ;      ;  6.18
Taurus VII               ; BDCC                ;      ;  6.18
Taurus VIII              ; BDCC                ;      ;  6.18
Taurus VIII              ; Kerr 2021           ;      ;  6.653
Taurus X                 ; BDCC                ;      ;  6.18
Terzan 1                 ; Baumgart 2021       ; 1.99 ; 10.0792
Terzan 1                 ; Kharchenko+ 2013    ; 1.988; 10.100
Terzan 10                ; Kharchenko+ 2013    ; 2.405;  9.950
Terzan 12                ; Kharchenko+ 2013    ; 2.061; 10.100
Terzan 2                 ; Kharchenko+ 2013    ; 1.874;  9.950
Terzan 3                 ; Baumgart 2021       ; 0.73 ; 10.0792
Terzan 3                 ; Kharchenko+ 2013    ; 0.729;  9.950
Terzan 4                 ; Kharchenko+ 2013    ; 2.001; 10.100
Terzan 5                 ; Baumgart 2021       ; 2.28 ; 10.0792
Terzan 5                 ; Kharchenko+ 2013    ; 2.280;  9.800
Terzan 6                 ; Baumgart 2021       ; 2.35 ; 10.0792
Terzan 6                 ; Kharchenko+ 2013    ; 2.342;  9.850
Terzan 7                 ; Baumgart 2021       ; 0.07 ;  9.9031
Terzan 7                 ; Kharchenko+ 2013    ; 0.071;  9.900
Terzan 8                 ; Baumgart 2021       ; 0.12 ; 10.1139
Terzan 8                 ; Kharchenko+ 2013    ; 0.121; 10.100
Terzan 9                 ; Kharchenko+ 2013    ; 1.759; 10.050
Teutsch 1                ; 2016DAML            ; 0.40 ;  8.30
Teutsch 1                ; 2020A&A...640A...1C ; 0.609;  7.44
Teutsch 1                ; BDCC                ; 0.75 ;  8.76
Teutsch 1                ; Dias 2021           ; 0.664;  7.681
Teutsch 1                ; Tarricq 2021        ;      ;  7.61
Teutsch 10               ; 2016DAML            ; 1.01 ;  7.50
Teutsch 10               ; 2020A&A...640A...1C ; 0.566;  8.79
Teutsch 10               ; Dias 2021           ; 0.828;  8.461
Teutsch 10               ; Kharchenko+ 2013    ; 1.020;  7.800
Teutsch 10               ; Tarricq 2021        ;      ;  8.89
Teutsch 103              ; 2016DAML            ; 0.62 ;  8.75
Teutsch 103              ; 2020A&A...640A...1C ; 0.738;  8.56
Teutsch 103              ; Dias 2021           ; 0.859;  8.727
Teutsch 103              ; Kharchenko+ 2013    ; 0.937;  8.975
Teutsch 103              ; Tarricq 2021        ;      ;  8.65
Teutsch 106              ; 2016DAML            ; 1.02 ;  8.78
Teutsch 106              ; 2020A&A...640A...1C ; 0.544;  9.48
Teutsch 106              ; Kharchenko+ 2013    ; 0.979;  8.780
Teutsch 106              ; Tarricq 2021        ;      ;  9.45
Teutsch 11               ; 2016DAML            ; 0.70 ;  8.70
Teutsch 11               ; 2020A&A...640A...1C ; 0.438;  9.30
Teutsch 11               ; Kharchenko+ 2013    ; 0.708;  8.800
Teutsch 12               ; 2016DAML            ; 0.64 ;  8.48
Teutsch 12               ; 2020A&A...640A...1C ; 0.556;  8.92
Teutsch 12               ; Dias 2021           ; 0.645;  8.948
Teutsch 12               ; Tarricq 2021        ;      ;  8.92
Teutsch 124              ; 2016DAML            ; 1.82 ;  9.84
Teutsch 124              ; Kharchenko+ 2013    ; 1.820;  9.395
Teutsch 125              ; 2020A&A...640A...1C ; 0.850;  6.94
Teutsch 125              ; Kharchenko+ 2013    ; 0.781;  9.100
Teutsch 126              ; 2016DAML            ; 0.22 ;  8.60
Teutsch 126              ; 2020A&A...640A...1C ; 0.353;  7.69
Teutsch 126              ; Dias 2021           ; 0.437;  8.036
Teutsch 126              ; Kharchenko+ 2013    ; 0.625;  8.800
Teutsch 126              ; Tarricq 2021        ;      ;  7.72
Teutsch 127              ; 2016DAML            ; 5.89 ;  6.70
Teutsch 127              ; 2020A&A...640A...1C ; 0.650;  7.06
Teutsch 127              ; BDCC                ; 5.89 ;  6.70
Teutsch 127              ; Dias 2021           ; 0.737;  6.811
Teutsch 13               ; 2016DAML            ; 0.67 ;  7.48
Teutsch 13               ; 2020A&A...640A...1C ; 0.606;  6.90
Teutsch 13               ; Dias 2021           ; 0.592;  8.412
Teutsch 13               ; Kharchenko+ 2013    ; 0.625;  7.295
Teutsch 132              ; 2016DAML            ; 0.75 ;  6.70
Teutsch 132              ; Dias 2021           ; 0.715;  6.992
Teutsch 132              ; Kharchenko+ 2013    ; 0.799;  6.900
Teutsch 133              ; BDCC                ; 0.62 ;  9.30
Teutsch 136              ; BDCC                ; 0.54 ;  6.70
Teutsch 14 A             ; 2016DAML            ; 1.54 ;  8.00
Teutsch 14 A             ; Kharchenko+ 2013    ; 1.499;  8.485
Teutsch 143 A            ; 2016DAML            ; 0.46 ;  8.85
Teutsch 143 A            ; 2020A&A...640A...1C ; 0.459;  9.04
Teutsch 143 A            ; Dias 2021           ; 0.609;  9.002
Teutsch 143 A            ; Kharchenko+ 2013    ; 0.833;  6.600
Teutsch 143 A            ; Tarricq 2021        ;      ;  9.04
Teutsch 144              ; 2016DAML            ; 0.70 ;  8.90
Teutsch 144              ; 2020A&A...640A...1C ; 0.566;  8.94
Teutsch 144              ; Dias 2021           ; 0.774;  8.651
Teutsch 144              ; Kharchenko+ 2013    ; 1.041;  8.805
Teutsch 144              ; Tarricq 2021        ;      ;  8.93
Teutsch 145              ; 2016DAML            ; 1.90 ;  8.30
Teutsch 145              ; 2020A&A...640A...1C ; 1.297;  8.62
Teutsch 145              ; Kharchenko+ 2013    ; 1.770;  8.725
Teutsch 145              ; Tarricq 2021        ;      ;  8.62
Teutsch 146              ; 2016DAML            ; 1.83 ;  8.60
Teutsch 146              ; Kharchenko+ 2013    ; 1.770;  8.750
Teutsch 156              ; 2016DAML            ; 0.94 ;  8.95
Teutsch 156              ; 2020A&A...640A...1C ; 0.728;  9.03
Teutsch 156              ; Kharchenko+ 2013    ; 1.041;  8.785
Teutsch 156              ; Tarricq 2021        ;      ;  8.91
Teutsch 162              ; 2016DAML            ; 0.51 ;  7.00
Teutsch 162              ; Kharchenko+ 2013    ; 0.949;  7.000
Teutsch 165              ; BDCC                ; 0.65 ;  9.12
Teutsch 166              ; BDCC                ; 0.38 ;  8.80
Teutsch 180              ; wilton.unifei.edu.br;      ;  8.56
Teutsch 183              ; wilton.unifei.edu.br;      ;  8.98
Teutsch 195              ; BDCC                ; 0.10 ;  8.19
Teutsch 2                ; 2016DAML            ; 0.48 ;  8.95
Teutsch 2                ; 2020A&A...640A...1C ; 0.375;  9.20
Teutsch 2                ; Dias 2021           ; 0.590;  8.922
Teutsch 2                ; Kharchenko+ 2013    ; 0.550;  8.950
Teutsch 20               ; BDCC                ; 0.58 ;  8.80
Teutsch 215              ; arXiv:2009.14372v1  ;      ;  9.398
Teutsch 22               ; 2016DAML            ; 0.86 ;  8.55
Teutsch 22               ; 2020A&A...640A...1C ; 0.819;  8.36
Teutsch 22               ; Dias 2021           ; 0.867;  8.555
Teutsch 22               ; Kharchenko+ 2013    ; 1.041;  8.500
Teutsch 22               ; Tarricq 2021        ;      ;  8.38
Teutsch 23               ; 2016DAML            ; 0.77 ;  7.00
Teutsch 23               ; 2020A&A...640A...1C ; 0.841;  6.75
Teutsch 23               ; Dias 2021           ; 0.920;  7.070
Teutsch 23               ; Kharchenko+ 2013    ; 0.770;  7.100
Teutsch 24               ; BDCC                ; 0.18 ;  8.91
Teutsch 25               ; 2016DAML            ; 0.57 ;  9.00
Teutsch 25               ; Kharchenko+ 2013    ; 0.416;  9.260
Teutsch 27               ; 2016DAML            ; 0.96 ;  8.78
Teutsch 27               ; 2020A&A...640A...1C ; 0.947;  7.51
Teutsch 27               ; Kharchenko+ 2013    ; 0.989;  8.750
Teutsch 28               ; 2016DAML            ; 1.44 ;  9.95
Teutsch 28               ; 2020A&A...640A...1C ; 1.169;  9.28
Teutsch 28               ; Kharchenko+ 2013    ; 1.874;  8.850
Teutsch 28               ; Tarricq 2021        ;      ;  9.35
Teutsch 3                ; BDCC                ; 0.33 ;  8.06
Teutsch 30               ; 2016DAML            ; 1.24 ;  6.9
Teutsch 30               ; 2020A&A...640A...1C ; 1.066;  7.46
Teutsch 30               ; Dias 2021           ; 1.124;  6.996
Teutsch 30               ; Kharchenko+ 2013    ; 0.937;  7.500
Teutsch 31               ; 2016DAML            ; 1.09 ;  8.78
Teutsch 31               ; 2020A&A...640A...1C ; 0.734;  9.22
Teutsch 31               ; Kharchenko+ 2013    ; 0.854;  8.780
Teutsch 31               ; Tarricq 2021        ;      ;  9.29
Teutsch 34               ; BDCC                ; 0.58 ;  8.68
Teutsch 35               ; 2016DAML            ; 0.00 ;  8.37
Teutsch 35               ; 2019 Bossini        ; 0.000;  7.900
Teutsch 35               ; 2020A&A...640A...1C ; 0.000;  8.01
Teutsch 35               ; Dias 2021           ; 0.045;  8.364
Teutsch 35               ; Tarricq 2021        ;      ;  8.02
Teutsch 38               ; 2016DAML            ; 0.02 ;  8.14
Teutsch 38               ; 2020A&A...640A...1C ; 0.003;  7.57
Teutsch 38               ; Dias 2021           ; 0.070;  7.643
Teutsch 38               ; Tarricq 2021        ;      ;  7.59
Teutsch 39               ; 2016DAML            ; 0.08 ;  7.30
Teutsch 39               ; Kharchenko+ 2013    ; 0.200;  7.700
Teutsch 4                ; BDCC                ; 0.72 ;  8.90
Teutsch 40               ; 2016DAML            ; 0.96 ;  8.90
Teutsch 40               ; Kharchenko+ 2013    ; 0.958;  9.115
Teutsch 42               ; 2016DAML            ; 2.55 ;  7.5
Teutsch 42               ; Kharchenko+ 2013    ; 2.769;  6.100
Teutsch 43               ; 2016DAML            ; 1.38 ;  9.30
Teutsch 43               ; Kharchenko+ 2013    ; 1.364;  9.250
Teutsch 44               ; 2016DAML            ; 0.64 ;  8.84
Teutsch 44               ; 2020A&A...640A...1C ; 0.181;  9.41
Teutsch 44               ; Kharchenko+ 2013    ; 0.479;  9.150
Teutsch 44               ; Tarricq 2021        ;      ;  9.40
Teutsch 45               ; 2016DAML            ; 0.75 ;  7.00
Teutsch 45               ; Kharchenko+ 2013    ; 0.991;  7.100
Teutsch 48               ; 2016DAML            ; 1.06 ;  8.70
Teutsch 48               ; Kharchenko+ 2013    ; 1.041;  8.975
Teutsch 49               ; 2016DAML            ; 1.60 ;  8.90
Teutsch 49               ; Kharchenko+ 2013    ; 1.749;  8.900
Teutsch 5                ; 2016DAML            ; 0.77 ;  9.35
Teutsch 5                ; Kharchenko+ 2013    ; 0.600;  9.380
Teutsch 50               ; 2016DAML            ; 0.86 ;  9.48
Teutsch 50               ; 2020A&A...640A...1C ; 0.956;  8.79
Teutsch 50               ; Dias 2021           ; 0.992;  8.800
Teutsch 50               ; Kharchenko+ 2013    ; 0.833;  9.480
Teutsch 51               ; 2016DAML            ; 1.06 ;  8.9
Teutsch 51               ; 2020A&A...640A...1C ; 0.819;  8.83
Teutsch 51               ; Kharchenko+ 2013    ; 1.270;  8.725
Teutsch 51               ; Tarricq 2021        ;      ;  8.78
Teutsch 52               ; 2016DAML            ; 1.22 ;  8.70
Teutsch 52               ; Kharchenko+ 2013    ; 1.081;  8.800
Teutsch 54               ; 2016DAML            ; 0.58 ;  8.95
Teutsch 54               ; Kharchenko+ 2013    ; 0.583;  9.150
Teutsch 55               ; 2016DAML            ; 0.82 ;  6.70
Teutsch 55               ; Kharchenko+ 2013    ; 0.895;  8.735
Teutsch 57               ; BDCC                ; 0.72 ;  8.60
Teutsch 58               ; BDCC                ; 0.90 ;  9.05
Teutsch 59               ; BDCC                ; 0.57 ;  8.90
Teutsch 59               ; BDCC                ; 0.60 ;  8.75
Teutsch 6                ; BDCC                ; 1.04 ;  8.61
Teutsch 60               ; BDCC                ; 0.36 ;  9.15
