Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
Alessi 2                 ; Dias 2021           ; 0.263;  8.598
Alessi 2                 ; Kharchenko+ 2013    ; 0.150;  8.698
Alessi 2                 ; Tarricq 2021        ;      ;  8.58
Alessi 20                ; 2016DAML            ; 0.22 ;  6.48
Alessi 20                ; 2017AstBu..72..257L ; 0.220;  6.480
Alessi 20                ; 2020A&A...640A...1C ; 0.188;  6.97
Alessi 20                ; Dias 2021           ; 0.323;  6.991
Alessi 20                ; Kharchenko+ 2013    ; 0.381;  7.575
Alessi 20                ; Tarricq 2021        ;      ;  6.98
Alessi 204               ; 2020Alessi          ;      ;  8.46
Alessi 21                ; 2016DAML            ; 0.07 ;  7.47
Alessi 21                ; 2017AstBu..72..257L ; 0.104;  7.325
Alessi 21                ; 2019 Bossini        ; 0.080;  7.816
Alessi 21                ; 2020A&A...640A...1C ; 0.091;  7.82
Alessi 21                ; Dias 2021           ; 0.119;  7.944
Alessi 21                ; Kharchenko+ 2013    ; 0.073;  7.700
Alessi 21                ; Tarricq 2021        ;      ;  7.84
Alessi 21                ; arXiv:2108.06234v1  ; 0.10 ;  7.93
Alessi 22                ; 2020Alessi          ; 0.16 ;  8.90
Alessi 24                ; 2016DAML            ; 0.10 ;  7.03
Alessi 24                ; 2017AstBu..72..257L ; 0.100;  7.030
Alessi 24                ; 2019 Bossini        ; 0.109;  7.945
Alessi 24                ; 2020A&A...640A...1C ; 0.106;  7.86
Alessi 24                ; BDCC                ; 0.25 ;  7.00
Alessi 24                ; Dias 2021           ; 0.079;  8.457
Alessi 24                ; Tarricq 2021        ;      ;  7.87
Alessi 28                ; BDCC                ; 0.09 ;  8.70
Alessi 3                 ; 2016DAML            ; 0.11 ;  8.70
Alessi 3                 ; 2017AstBu..72..257L ; 0.098;  8.859
Alessi 3                 ; 2020A&A...640A...1C ; 0.044;  8.80
Alessi 3                 ; Dias 2021           ; 0.057;  8.902
Alessi 3                 ; Kharchenko+ 2013    ; 0.110;  8.870
Alessi 3                 ; Tarricq 2021        ;      ;  8.80
Alessi 31                ; 2020A&A...640A...1C ; 0.547;  8.38
Alessi 31                ; Dias 2021           ; 0.693;  8.054
Alessi 31                ; Tarricq 2021        ;      ;  8.40
Alessi 37                ; 2020A&A...640A...1C ; 0.147;  8.14
Alessi 37                ; Dias 2021           ; 0.218;  8.366
Alessi 37                ; Tarricq 2021        ;      ;  8.16
Alessi 43                ; 2020A&A...640A...1C ; 0.309;  7.06
