Intrinsically very bright and/or large and/or massive galaxies

NOTES
1 QSO's or any kind of active galaxy without a discernible/measured diameter are excluded
2 Constraints: d <= 2.5 GPc AND (MB < -20 OR Diam > 40 Kpc) AND must have a discernible body
3 Objets that are individually not bright and/or large enough to be included here, but are bright/large if you consider the summed contribution of close
  companions are excluded, (e.g. few compact clusters listed as one entry in the ESO catalog), but intrinsically bright/large objects that are part of
  multiple systems (that probably canibalized many smaller galaxies) are included
4 Caveats: Is cannot be considered complete given that there are probably many giant/luminous BGC (Brightest Galaxy in Clusters) and a few nonstellar
  QSO's that are not included here
5 Sometimes objects listed here are larger and brighter than listed values due, e.g. to the presence of faint extended halos, to non-homogeinity as to
  what surface brightness level those values were measured, etc

Check: 2019ApJS..243...14O - The Ogle et al. Galaxy Catalog (OGC) (Ogle+, 2019)

Galaxy                   ;Alias           ;Diam'  ;Mag   ;Band;Type                       ;RV Km/s ;Dist MPc;Diam KPc;MB    ;Cluster/Group      ;Notes
NGC 1600                 ;                ;  2.7  ;11.93 ;B   ;cD, E3                     ;  4681  ;  64.1  ;  50.3  ;-22.1 ;                   ;
M 49                     ;                ; 10.4  ; 9.4  ;B   ;E2/SO, Sy2, LINER          ;   981  ;  15.8  ;  47.8  ;-21.6 ;Virgo cluster      ;
M 31                     ;                ;204    ; 4.3  ;B   ;SA(s)b, LINER              ;  -296  ;   0.8  ;  47.5  ;-21.5 ;Local group        ;
NGC 1232                 ;                ;  7.4  ;10.93 ;B   ;SAB(rs)c, HII              ;  1603  ;  22.0  ;  47.4  ;-20.8 ;                   ;
UGC 12591                ;                ;  1.7  ;13.9  ;B   ;SO/a, LINER                ;  6949  ;  95.2  ;  47.1  ;-21.0 ;                   ;The Fastest Rotating Galaxy Known: Very massive. Diam = 72 Kpc from Aladin
NGC 7589                 ;                ;  1.3  ;15.0  ;B   ;SAB(rs)a:, GLSBG, Sy1      ;  8938  ; 122.4  ;  46.3  ;-20.4 ;                   ;
Milky Way                ;                ;       ;-4.6  ;B   ;SAB(s)bc                   ;        ;   0.008;  43.0  ;-20.8 ;Local group        ;
UGC 6614                 ;                ;  1.7  ;14.37 ;B   ;(R)SA(r)a?, GLSBG          ;  6352  ;  87.0  ;  43.0  ;-20.3 ;                   ;
NGC 5128                 ;Centarus A      ; 37.5  ; 7.6  ;B   ;SO p, Sy2, BL Lac          ;   556  ;   3.7  ;  41.9  ;-20.7 ;Cen A group        ;Arp 153, has a large faint halo larger than the diam listed here
MUSYC HDFS1-1903         ;ISOHDFS 27      ;  0.06 ;22.0  ;B   ;Sbc                        ;174090  ;2384.1  ;  40.0  ;-20.6 ;                   ;4x more massive than MW
M 87                     ;Virgo A         ;  8.3  ; 9.6  ;B   ;cD 0-1 pec, NLRG, Sy       ;  1284  ;  16.5  ;  39.8  ;-21.5 ;Virgo cluster      ;
UGC 1382                 ;                ; >1.4  ;14.4  ;B   ;E?, E+arms, Spiral?        ;  5771  ;  86.8  ;  35.3  ;-20.3 ;                   ;Actually much larger than the listed diam implies (220 Kpc)
M 77                     ;Arp 37          ;  9.0  ; 9.6  ;B   ;(R)SA(rs)b, Sy1, Sy2       ;  1137  ;  12.6  ;  33.0  ;-20.9 ;                   ;
M 104                    ;                ;  9.9  ; 9.0  ;B   ;SA(s)a, LINER, Sy1.9       ;  1090  ;  11.3  ;  32.5  ;-21.8 ;M 104 group        ;
IC 1127                  ;Arp 220         ;  1.5  ;13.94 ;B   ;S?, LINER, HII, Sy2, ULIRG ;  5434  ;  74.4  ;  32.5  ;-20.4 ;                   ;
NGC 262                  ;Mrk 348         ;  1.6  ;13.9  ;B   ;SA(s)0/a:, Sy2             ;  4507  ;  61.7  ;  28.7  ;-20.1 ;                   ;Actually larger than the listed diam implies (>= 300 Kpc if located at 88 Mpc)
