Name                             PNstat         RAJ2000    DECJ2000      MajDiam   Catalogue           
PN G062.4-00.0                   PN??           19 49 25.0 +26 00 04.5             2015arXiv150708182F 
CPD-46 3116                      Be*            08 50 26.3 -46 35 04.5             1988A&AS...76..317P 
ESO 313-16                       Gx?            08 52 27.4 -38 54 04.0             1992secg.book.....A 
IPHAS J043128.43+471904.8        PN??           04 31 28.4 +47 19 04.8             2009A&A...504..291V 
IPHAS J061629.41+222604.2        PN??           06 16 29.4 +22 26 04.2             2009A&A...504..291V 
[AR95] 35                        SNR            23 23 31.4 +58 48 04.2             2009A&A...504..291V 
Hen 2-176                        Symb*          16 41 31.2 -45 13 04.6             1992secg.book.....A 
IRAS 15578-4907                  PPN?           16 01 31.1 -49 16 04.0             2007A&A...469..799S 
PN G286.4-30.9                   PN:            05 36 31.1 -75 07 04.1             2017APN7            
[GKF2010] MN106                  circM          19 13 32.7 +08 27 04.0             2010AJ....139.1542M 
PN G010.9+00.0                   PN??           18 09 34.3 -19 28 04.4             CornishCandidates   
PN G010.3+00.5                   PN??           18 06 34.1 -19 41 04.5             2015arXiv150708182F 
Ra 34                            PN??           06 14 35.0 +23 35 04.0             2017LAstr.131b..46L 
Kam 21                           PN??           01 03 36.3 -72 04 04.2             2014MNRAS.439.2211K 
PM 1-146                         PN?            17 25 37.5 -32 28 04.1             1988A&AS...76..317P 
PM 1-95                          notPN?         15 32 37.2 -60 37 04.1             1988A&AS...76..317P 
PM 1-242                         PN             18 34 38.6 +00 08 04.0             2009AJ....137.4140M 
PM 1-18                          notPN?         06 07 39.7 +29 38 04.9             1988A&AS...76..317P 
IRAS 08281-4850                  PPN?           08 29 40.6 -49 00 04.3             1988A&AS...76..317P 
RPZM 32                          notPN          17 40 43.4 -30 02 04.5             1992secg.book.....A 
PN G050.3+00.3                   PN??           19 22 45.9 +15 34 04.4             CornishCandidates   
PN G008.8+03.9                   PN??           17 50 47.3 -19 21 04.0             2006IAUS..234..409G 
PN G041.9+00.8                   PN??           19 04 49.0 +08 27 04.4             CornishCandidates   
PN G021.9+00.9                   PN??           18 27 50.4 -09 19 04.0             CornishCandidates   
PM 2-41                          notPN          19 26 51.6 +22 45 04.0             1988A&AS...76..317P 
IRAS 20140+3720                  notPN?         20 15 51.0 +37 30 04.2             2009A&A...502..113V 
IRAS 19175+1307                  PN??           19 19 52.7 +13 13 04.2             2009A&A...504..291V 
PN G035.8-01.1                   PN??           19 00 55.7 +02 07 04.1             2015arXiv150708182F 
2MASS J2129+5539                 notPN          21 29 55.6 +55 39 04.1             2009A&A...502..113V 
2MASS J2119+5147                 notPN?         21 19 56.2 +51 47 04.1             2009A&A...502..113V 
HD 143352                        RVtau          15 58 58.3 +26 08 04.6             2007A&A...469..799S 
PN G063.4-00.5                   PN??           19 53 59.3 +26 36 04.9             CornishCandidates   
PN G030.3-01.2                   PN??           18 51 00.8 -02 54 05.2             2015arXiv150708182F 
PPA J1751-3103                   Symb*?         17 51 00.7 -31 03 05.8             MEN_List            
2MASS J1938+2149                 PN??           19 38 01.9 +21 49 05.5             2009A&A...504..291V 
IPHAS J223304.68+582905.4        PN??           22 33 04.7 +58 29 05.4             2009A&A...504..291V 
WKK98 1066                       PN??           12 29 04.1 -54 34 05.9             2001A&A...380..441W 
PHR J1310-6346                   PN??           13 10 04.1 -63 46 05.9             MEN_List            
VRMF 104                         PN             16 42 06.2 -49 45 05.6             1992secg.book.....A 
IRAS 18293-0941                  notPN          18 32 08.9 -09 39 05.5             2011ApJS..194...32A 
PN G272.0-29.0                   Gx?            06 06 08.6 -62 48 05.3             ivan                
Wray 16-294                      Em*            17 39 13.8 -25 38 05.1             1992secg.book.....A 
Bl L                             notPN?         17 53 13.8 -30 18 05.6             1992secg.book.....A 
IRAS 14429-4539                  PAGB/PPN       14 46 13.8 -45 52 05.2             2001A&A...378..843K 
PN G284.4-37.0                   Gx?            04 23 13.5 -71 30 05.0             ivan                
PM 1-307                         Gx             19 33 14.3 +41 01 05.2             1988A&AS...76..317P 
K 4-2                            Symb*?         18 32 15.2 +07 14 05.3             1992secg.book.....A 
PN G298.4-00.2                   notPN?         12 12 15.8 -62 44 05.7             MIRPNc              
GPSR 007.836-1.344               PN:            18 08 17.7 -22 50 05.8             1995AJ....110.2225K 
WISE J003818.70+630605.3         notPN          00 38 18.7 +63 06 05.2             2009A&A...504..291V 
WKK98 1213                       PN??           12 38 19.0 -58 37 05.2             2001A&A...380..441W 
PN G282.9-32.8                   Gx?            05 19 19.4 -71 48 05.0             ivan                
ESO 209-5                        Gx?            07 51 20.4 -52 19 05.0             1992secg.book.....A 
PM 2-44                          Y*?            20 16 21.7 +35 36 05.4             1988A&AS...76..317P 
PN G281.3-31.5a                  Gx?            05 38 21.2 -70 41 05.3             ivan                
PN G149.1-00.2                   PN??           03 59 22.8 +52 48 05.7             2015arXiv150708182F 
[BDS2003] 32                     Y*?            22 17 22.3 +61 43 05.5             2009A&A...504..291V 
GM 1-12                          HII            21 42 23.6 +54 55 05.0             2009A&A...504..291V 
ALS 7847                         Em*?           04 00 23.3 +56 54 05.7             1988A&AS...76..317P 
PN G021.9+00.4a                  PN??           18 29 25.8 -09 34 05.8             CornishCandidates   
PM 1-26                          notPN?         07 12 26.2 +08 31 05.2             1988A&AS...76..317P 
IPHAS J054126.40+360905.6        PN??           05 41 26.4 +36 09 05.6             2009A&A...504..291V 
PN G025.4+00.6                   PN??           18 35 27.9 -06 20 05.6             CornishCandidates   
PN G149.4-02.1                   PN??           03 52 28.9 +51 07 05.4             2015arXiv150708182F 
IPHAS J061630.17+222805.3        PN??           06 16 30.2 +22 28 05.3             2009A&A...504..291V 
PM 1-294                         notPN          19 17 31.4 +27 10 05.5             1988A&AS...76..317P 
PN G050.9+00.4                   PN??           19 23 32.0 +16 10 05.0             2015arXiv150708182F 
NGC 7089 SAW V11                 RVtau          21 33 32.4 -00 49 05.8             2007A&A...469..799S 
